Site,Filename,TB89V_0,TBstd89V_0,TB89H_0,TBstd89H_0,TB89V_55,TBstd89V_55,TB89H_55,TBstd89H_55,TB89V_90,TBstd89V_90,TB89H_90,TBstd89H_90
A02C1,A02C1aa20180316_0109.txt,,,,,181.7480427438,0.1718652764,159.9244006832,0.2036669558,,,,
A02C1,A02C1bb20180316_0117.txt,,,,,195.958913565,0.176478269,173.9387984788,0.2771202236,,,,
A02C1,A02C1cc20180316_0125.txt,,,,,201.7453234828,0.2842511196,175.889973594,0.4418276122,,,,
A02C1,A02C1cc20180316_0139.txt,,,,,184.2151146288,0.055649166,169.8091677199,0.04056392,,,,
A02E1,A02E1aa20180316_0024.txt,,,,,196.9282672825,0.190387031,180.7540419424,0.1994715685,,,,
A02E1,A02E1bb20180316_0030.txt,,,,,207.7858461459,0.3360715498,187.8222529168,0.4807246659,,,,
A02E1,A02E1cc20180316_0043.txt,,,,,205.5858783382,0.230789417,189.6222021443,0.1980704425,,,,
A02W1,A02W1aa20180316_0140.txt,,,,,184.4425534931,0.1936009717,170.8258784003,0.293551691,,,,
A02W1,A02W1bb20180316_0146.txt,,,,,201.2490076005,0.5095915939,182.820454613,0.5911636009,,,,
A02W1,A02W1cc20180316_0152.txt,,,,,204.9760076988,0.1879782898,183.6664508809,0.4632200094,,,,
A03C1,A03C1a_020180317_1834.txt,192.288788832,0.3645729379,192.4229999498,0.3274118863,,,,,,,,
A03C1,A03C1b_020180317_1830.txt,194.2752895717,0.2133292116,194.3104494351,0.2114023727,,,,,,,,
A03C1,A03C1c_020180317_1825.txt,179.1564395646,0.1657991723,178.2966432905,0.1671109608,,,,,,,,
A03C1,A03C1a_5520180317_1810.txt,,,,,201.6618419236,0.3551091584,173.3456401374,0.4120696394,,,,
A03C1,A03C1b_5520180317_1814.txt,,,,,185.9793134925,0.1579662382,166.5901373234,0.2005486532,,,,
A03C1,A03C1c_5520180317_1818.txt,,,,,193.7258057987,0.1761384151,165.6880074068,0.1922878889,,,,
A03C1,A03C1_sky,,,,,,,,,20.0674099615,0.3130407138,19.0165100343,0.3000544968
A03E1,A03E1a_020180317_1733.txt,172.1708478135,0.2610838171,172.0379357333,0.2288282348,,,,,,,,
A03E1,A03E1b_020180317_1728.txt,185.6258580177,0.3268750695,185.3317002496,0.312064074,,,,,,,,
A03E1,A03E1c_020180317_1724.txt,192.9496864345,0.1831115268,192.40519644,0.1991115766,,,,,,,,
A03E1,A03E1c_5520180317_1713.txt,,,,,183.645715445,0.189210041,166.0373996407,0.1954098204,,,,
A03W1,A03W1a_020180317_1941.txt,238.0139071447,0.164458227,237.6505586594,0.1334009625,,,,,,,,
A03W1,A03W1b_020180317_1946.txt,237.3498510397,0.1445302121,237.129453292,0.1626564186,,,,,,,,
A03W1,A03W1c_020180317_1951.txt,235.2111739326,0.1215802576,235.0114147617,0.1384558389,,,,,,,,
A03W1,A03W1a_5520180317_2025.txt,,,,,240.5719499838,0.1213459951,215.9743302765,0.1684349105,,,,
A03W1,A03W1b_5520180317_2019.txt,,,,,239.8585301697,0.103849953,219.380039617,0.1461160083,,,,
A03W1,A03W1c_5520180317_1958.txt,,,,,240.5225007268,0.1761035604,222.6224476882,0.1933288093,,,,
A04C1,A04C1a_020180317_0014.txt,193.1514372853,0.2497457077,192.6739683259,0.2062270037,,,,,,,,
A04C1,A04C1b_020180317_0022.txt,186.9084957383,0.1785431681,186.1190559183,0.1637098144,,,,,,,,
A04C1,A04C1c_020180316_1737.txt,190.559202949,0.1697784504,190.2480607785,0.1480879416,,,,,,,,
A04C1,A04C1c_020180317_0026.txt,191.9696448358,0.9914036882,191.486934593,0.8231964942,,,,,,,,
A04C1,A04C1cc_020180317_0028.txt,190.7034663008,0.2008546926,190.2874368746,0.1972209409,,,,,,,,
A04C1,A04C1a_5520180316_1710.txt,,,,,194.4434647646,0.1842460928,162.1429094792,0.1805271715,,,,
A04C1,A04C1c_5520180316_1724.txt,,,,,180.8440178022,0.1671651711,157.1569604519,0.1854080701,,,,
A04N1,A04N1a_020180316_2249.txt,179.9410956466,0.2193941318,179.9483405917,0.2092828923,,,,,,,,
A04N1,A04N1b_020180316_2254.txt,178.9542845967,0.4607314599,178.7795488131,0.4617592159,,,,,,,,
A04N1,A04N1c_020180316_2258.txt,166.6490094317,0.2110995415,166.2000542055,0.2119363852,,,,,,,,
A04N1,A04N1a_5520180316_1806.txt,,,,,172.1842163024,0.1940816016,155.0147501657,0.1942526437,,,,
A04N1,A04N1b_5520180316_1812.txt,,,,,178.2107074885,0.1578692582,157.2641186227,0.1945008631,,,,
A04N1,A04N1c _5520180316_1817.txt,,,,,175.7911270364,0.1568670018,151.5407279745,0.1941664209,,,,
A04S1,A04S1a_020180316_2330.txt,193.989630959,0.2370350149,193.4390343851,0.2197758231,,,,,,,,
A04S1,A04S1b_020180316_2341.txt,202.9168155735,0.1850369056,203.0653632216,0.2179551991,,,,,,,,
A04S1,A04S1c_020180316_2346.txt,199.4734808504,0.1213919286,199.61719078,0.1371178115,,,,,,,,
A04S1,A04S1a _5520180316_1837.txt,,,,,213.6059426698,0.1383755594,182.605207138,0.1482637451,,,,
A04S1,A04S1b _5520180316_1843.txt,,,,,203.619805398,0.1690523218,168.9401920017,0.189111681,,,,
A04S1,A04S1c _5520180316_1853.txt,,,,,194.0554011181,0.1840658529,164.0696963658,0.1965358932,,,,
A04S1,A04S1_sky,,,,,,,,,27.9676956512,0.2406841318,27.1116985871,0.2478979185
A05W1,A05Wa_020180320_1808.txt,222.9641530476,0.1275644462,222.3686894121,0.129558052,,,,,,,,
A05W1,A05Wb_020180320_1802.txt,220.8170230055,0.141988252,220.0854332915,0.1865541569,,,,,,,,
